id,First name,Last name,Date of birth,Country of birth,City of birth,Year of award,Category,Motivation
586,Michael S.,Brown,4/13/1941,USA,"New York, NY",1985.0,medicine,for their discoveries concerning the regulation of cholesterol metabolism
587,Salvador E.,Luria,8/13/1912,Italy,Torino,1969.0,medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses
588,Alfred D.,Hershey,12/4/1908,USA,"Owosso, MI",1969.0,medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses
589,Max,Delbrôck,9/4/1906,Germany,Berlin,1969.0,medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses
590,Peter C.,Doherty,10/15/1940,Australia,Brisbane,1996.0,medicine,for their discoveries concerning the specificity of the cell mediated immune defence
591,Rolf M.,Zinkernagel,1/6/1944,Switzerland,Basel,1996.0,medicine,for their discoveries concerning the specificity of the cell mediated immune defence
592,Christian,de Duve,10/2/1917,United Kingdom,Thames Ditton,1974.0,medicine,for their discoveries concerning the structural and functional organization of the cell
593,Albert,Claude,08/24/1898,Belgium,Longlier,1974.0,medicine,for their discoveries concerning the structural and functional organization of the cell
594,George E.,Palade,11/19/1912,Romania,Iasi,1974.0,medicine,for their discoveries concerning the structural and functional organization of the cell
595,Christian,de Duve,10/2/1917,United Kingdom,Thames Ditton,1974.0,medicine,for their discoveries concerning the structural and functional organization of the cell
596,Edwin Mattison,McMillan,9/18/1907,USA,"Redondo Beach, CA",1951.0,chemistry,for their discoveries in the chemistry of the transuranium elements
597,Glenn Theodore,Seaborg,4/19/1912,USA,"Ishpeming, MI",1951.0,chemistry,for their discoveries in the chemistry of the transuranium elements
598,Giulio,Natta,2/26/1903,Italy,Imperia,1963.0,chemistry,for their discoveries in the field of the chemistry and technology of high polymers
599,Karl,Ziegler,11/26/1898,Germany,Helsa,1963.0,chemistry,for their discoveries in the field of the chemistry and technology of high polymers
600,John,O'Keefe,11/18/1939,USA,"New York, NY",2014.0,medicine,for their discoveries of cells that constitute a positioning system in the brain
601,Edvard I.,Moser,4/27/1962,Norway,Lesund,2014.0,medicine,for their discoveries of cells that constitute a positioning system in the brain
602,Stanley,Cohen,11/17/1922,USA,"Brooklyn, NY",1986.0,medicine,for their discoveries of growth factors
603,Sir James W.,Black,6/14/1924,Scotland,Uddingston,1988.0,medicine,for their discoveries of important principles for drug treatment
604,George H.,Hitchings,4/18/1905,USA,"Hoquiam, WA",1988.0,medicine,for their discoveries of important principles for drug treatment
605,Tim,Hunt,2/19/1943,United Kingdom,Neston,2001.0,medicine,for their discoveries of key regulators of the cell cycle
606,Sir Paul M.,Nurse,1/25/1949,United Kingdom,Norwich,2001.0,medicine,for their discoveries of key regulators of the cell cycle
607,Leland H.,Hartwell,10/30/1939,USA,"Los Angeles, CA",2001.0,medicine,for their discoveries of key regulators of the cell cycle
608,Randy W.,Schekman,12/30/1948,USA,"St. Paul, MN",2013.0,medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
609,James E.,Rothman,11/3/1950,USA,"Haverhill, MA",2013.0,medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
610,Thomas C.,Sôdhof,12/22/1955,Germany,G_ttingen,2013.0,medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
611,Randy W.,Schekman,12/30/1948,USA,"St. Paul, MN",2013.0,medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
612,Thomas C.,Sôdhof,12/22/1955,Germany,G_ttingen,2013.0,medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
613,Richard,Axel,7/2/1946,USA,"New York, NY",2004.0,medicine,for their discoveries of odorant receptors and the organization of the olfactory system
614,Sir Martin J.,Evans,1/1/1941,United Kingdom,Stroud,2007.0,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
615,Oliver,Smithies,6/23/1925,United Kingdom,Halifax,2007.0,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
616,Mario R.,Capecchi,10/6/1937,Italy,Verona,2007.0,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
617,Mario R.,Capecchi,10/6/1937,Italy,Verona,2007.0,medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
618,Richard J.,Roberts,9/6/1943,United Kingdom,Derby,1993.0,medicine,for their discoveries of split genes
619,Phillip A.,Sharp,6/6/1944,USA,"Falmouth, KY",1993.0,medicine,for their discoveries of split genes
620,Edgar Douglas,Adrian,11/30/1889,United Kingdom,London,1932.0,medicine,for their discoveries regarding the functions of neurons
621,Sir Charles Scott,Sherrington,11/27/1857,United Kingdom,London,1932.0,medicine,for their discoveries regarding the functions of neurons
622,Otto,Loewi,06/03/1873,Germany,Frankfurt-on-the-Main,1936.0,medicine,for their discoveries relating to chemical transmission of nerve impulses
623,Sir Henry Hallett,Dale,06/09/1875,United Kingdom,London,1936.0,medicine,for their discoveries relating to chemical transmission of nerve impulses
624,Herbert Spencer,Gasser,07/05/1888,USA,"Platteville, WI",1944.0,medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres
625,Joseph,Erlanger,01/05/1874,USA,"San Francisco, CA",1944.0,medicine,for their discoveries relating to the highly differentiated functions of single nerve fibres
626,Tadeus,Reichstein,07/20/1897,Poland,Wloclawek,1950.0,medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
627,Edward Calvin,Kendall,03/08/1886,USA,"South Norwalk, CT",1950.0,medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
628,Philip Showalter,Hench,02/28/1896,USA,"Pittsburgh, PA",1950.0,medicine,"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects"
629,Kurt,Alder,7/10/1902,Prussia (now Poland),Chorzow,1950.0,chemistry,for their discovery and development of the diene synthesis
630,Otto Paul Hermann,Diels,01/23/1876,Germany,Hamburg,1950.0,chemistry,for their discovery and development of the diene synthesis
631,Horst L.,St_rmer,4/6/1949,West Germany (now Germany),Frankfurt-on-the-Main,1998.0,physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
632,Daniel C.,Tsui,2/28/1939,China,Henan,1998.0,physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
633,Robert B.,Laughlin,11/1/1950,USA,"Visalia, CA",1998.0,physics,for their discovery of a new form of quantum fluid with fractionally charged excitations
634,Thomas R.,Cech,12/8/1947,USA,"Chicago, IL",1989.0,chemistry,for their discovery of catalytic properties of RNA
635,Sidney,Altman,5/7/1939,Canada,Montreal,1989.0,chemistry,for their discovery of catalytic properties of RNA
636,Arno Allan,Penzias,4/26/1933,Germany,Munich,1978.0,physics,for their discovery of cosmic microwave background radiation
637,Robert Woodrow,Wilson,1/10/1936,USA,"Houston, TX",1978.0,physics,for their discovery of cosmic microwave background radiation
638,Sir Harold W.,Kroto,10/7/1939,United Kingdom,Wisbech,1996.0,chemistry,for their discovery of fullerenes
639,Robert F.,Curl Jr.,8/23/1933,USA,"Alice, TX",1996.0,chemistry,for their discovery of fullerenes
640,Richard E.,Smalley,6/6/1943,USA,"Akron, OH",1996.0,chemistry,for their discovery of fullerenes
641,Alfred G.,Gilman,7/1/1941,USA,"New Haven, CT",1994.0,medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
642,Martin,Rodbell,12/1/1925,USA,"Baltimore, MD",1994.0,medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
643,Luc,Montagnier,8/18/1932,France,Chabris,2008.0,medicine,for their discovery of human immunodeficiency virus
644,Andrew Z.,Fire,4/27/1959,USA,"Stanford, CA",2006.0,medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA
645,Craig C.,Mello,10/19/1960,USA,"New Haven, CT",2006.0,medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA
646,David M.,Lee,1/20/1931,USA,"Rye, NY",1996.0,physics,for their discovery of superfluidity in helium-3
647,Robert C.,Richardson,6/26/1937,USA,"Washington, DC",1996.0,physics,for their discovery of superfluidity in helium-3
648,Douglas D.,Osheroff,8/1/1945,USA,"Aberdeen, WA",1996.0,physics,for their discovery of superfluidity in helium-3
649,Thomas Huckle,Weller,6/15/1915,USA,"Ann Arbor, MI",1954.0,medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
650,John Franklin,Enders,02/10/1897,USA,"West Hartford, CT",1954.0,medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
651,John Franklin,Enders,02/10/1897,USA,"West Hartford, CT",1954.0,medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
652,Frederick Chapman,Robbins,8/25/1916,USA,"Auburn, AL",1954.0,medicine,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue
653,Emilio Gino,Segro,2/1/1905,Italy,Tivoli,1959.0,physics,for their discovery of the antiproton
654,Owen,Chamberlain,7/10/1920,USA,"San Francisco, CA",1959.0,physics,for their discovery of the antiproton
655,Barry J.,Marshall,9/30/1951,Australia,Kalgoorlie,2005.0,medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
656,J. Robin,Warren,6/11/1937,Australia,Adelaide,2005.0,medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
657,Barry J.,Marshall,9/30/1951,Australia,Kalgoorlie,2005.0,medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
658,George F.,Smoot,2/20/1945,USA,"Yukon, FL",2006.0,physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
659,John C.,Mather,8/7/1946,USA,"Roanoke, VA",2006.0,physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
660,J. Michael,Bishop,2/22/1936,USA,"York, PA",1989.0,medicine,for their discovery of the cellular origin of retroviral oncogenes
661,Harold E.,Varmus,12/18/1939,USA,"Oceanside, NY",1989.0,medicine,for their discovery of the cellular origin of retroviral oncogenes
662,Carl Ferdinand,Cori,12/05/1896,Austria-Hungary (now Czech Republic),Prague,1947.0,medicine,for their discovery of the course of the catalytic conversion of glycogen
663,James,Franck,08/26/1882,Germany,Hamburg,1925.0,physics,for their discovery of the laws governing the impact of an electron upon an atom
664,Gustav Ludwig,Hertz,07/22/1887,Germany,Hamburg,1925.0,physics,for their discovery of the laws governing the impact of an electron upon an atom
665,Severo,Ochoa,9/24/1905,Spain,Luarca,1959.0,medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
666,Arthur,Kornberg,3/3/1918,USA,"Brooklyn, NY",1959.0,medicine,for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid
667,Edward Lawrie,Tatum,12/14/1909,USA,"Boulder, CO",1958.0,medicine,for their discovery that genes act by regulating definite chemical events
668,George Wells,Beadle,10/22/1903,USA,"Wahoo, NE",1958.0,medicine,for their discovery that genes act by regulating definite chemical events
669,Albert Arnold (Al),Gore Jr.,3/31/1948,USA,"Washington, DC",2007.0,peace,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
670,Muhammad,Yunus,6/28/1940,British India (now Bangladesh),Chittagong,2006.0,peace,for their efforts to create economic and social development from below
671,Yitzhak,Rabin,3/1/1922,British Mandate of Palestine (now Israel),Jerusalem,1994.0,peace,for their efforts to create peace in the Middle East
672,Shimon,Peres,8/16/1923,Poland (now Belarus),Vishneva,1994.0,peace,for their efforts to create peace in the Middle East
673,Yasser,Arafat,8/24/1929,Egypt,Cairo,1994.0,peace,for their efforts to create peace in the Middle East
674,Joseph,Rotblat,11/4/1908,Russian Empire (now Poland),Warsaw,1995.0,peace,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
675,John,Hume,1/18/1937,Northern Ireland,Londonderry,1998.0,peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland
676,David,Trimble,10/15/1944,Northern Ireland,Belfast,1998.0,peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland
677,Mohamed,ElBaradei,6/17/1942,Egypt,Cairo,2005.0,peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
678,John E.,Walker,1/7/1941,United Kingdom,Halifax,1997.0,chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
679,Paul D.,Boyer,7/31/1918,USA,"Provo, UT",1997.0,chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
680,Eugene F.,Fama,2/14/1939,USA,"Boston, MA",2013.0,economics,for their empirical analysis of asset prices
681,Lars Peter,Hansen,10/26/1952,USA,"Urbana, IL",2013.0,economics,for their empirical analysis of asset prices
682,Robert J.,Shiller,3/29/1946,USA,"Detroit, MI",2013.0,economics,for their empirical analysis of asset prices
683,Thomas J.,Sargent,7/19/1943,USA,"Pasadena, CA",2011.0,economics,for their empirical research on cause and effect in the macroeconomy
684,Christopher A.,Sims,10/21/1942,USA,"Washington, DC",2011.0,economics,for their empirical research on cause and effect in the macroeconomy
685,Ivar,Giaever,4/5/1929,Norway,Bergen,1973.0,physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
686,Leo,Esaki,3/12/1925,Japan,Osaka,1973.0,physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively"
687,George Paget,Thomson,05/03/1892,United Kingdom,Cambridge,1937.0,physics,for their experimental discovery of the diffraction of electrons by crystals
688,Clinton Joseph,Davisson,10/22/1881,USA,"Bloomington, IL",1937.0,physics,for their experimental discovery of the diffraction of electrons by crystals
689,James A.,Mirrlees,7/5/1936,Scotland,Minnigaff,1996.0,economics,for their fundamental contributions to the economic theory of incentives under asymmetric information
690,William,Vickrey,6/21/1914,Canada,"Victoria, BC",1996.0,economics,for their fundamental contributions to the economic theory of incentives under asymmetric information
691,Sir Nevill Francis,Mott,9/30/1905,United Kingdom,Leeds,1977.0,physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
692,John Hasbrouck,van Vleck,03/13/1899,USA,"Middletown, CT",1977.0,physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
693,Philip Warren,Anderson,12/13/1923,USA,"Indianapolis, IN",1977.0,physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems
694,Julian,Schwinger,2/12/1918,USA,"New York, NY",1965.0,physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
695,Richard P.,Feynman,5/11/1918,USA,"New York, NY",1965.0,physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
696,Sin-Itiro,Tomonaga,3/31/1906,Japan,Kyoto,1965.0,physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles"
697,J. Georg,Bednorz,5/16/1950,West Germany (now Germany),Neuenkirchen,1987.0,physics,for their important break-through in the discovery of superconductivity in ceramic materials
698,K. Alexander,Môller,4/19/1927,Switzerland,Basel,1987.0,physics,for their important break-through in the discovery of superconductivity in ceramic materials
699,Marshall W.,Nirenberg,4/10/1927,USA,"New York, NY",1968.0,medicine,for their interpretation of the genetic code and its function in protein synthesis
700,Robert W.,Holley,1/28/1922,USA,"Urbana, IL",1968.0,medicine,for their interpretation of the genetic code and its function in protein synthesis
701,Har Gobind,Khorana,1/9/1922,India,Raipur,1968.0,medicine,for their interpretation of the genetic code and its function in protein synthesis
702,Richard Laurence Millington,Synge,10/28/1914,United Kingdom,Liverpool,1952.0,chemistry,for their invention of partition chromatography
703,Archer John Porter,Martin,3/1/1910,United Kingdom,London,1952.0,chemistry,for their invention of partition chromatography
704,Arthur,Harden,10/12/1865,United Kingdom,Manchester,1929.0,chemistry,for their investigations on the fermentation of sugar and fermentative enzymes
705,Hans Karl August Simon,von Euler-Chelpin,02/15/1873,Germany,Augsburg,1929.0,chemistry,for their investigations on the fermentation of sugar and fermentative enzymes
706,John Robert,Schrieffer,5/31/1931,USA,"Oak Park, IL",1972.0,physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
707,Leon Neil,Cooper,2/28/1930,USA,"New York, NY",1972.0,physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
708,John,Bardeen,5/23/1908,USA,"Madison, WI",1972.0,physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory"
709,Herbert A.,Hauptman,2/14/1917,USA,"New York, NY",1985.0,chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures
710,Jerome,Karle,6/18/1918,USA,"New York, NY",1985.0,chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures
711,James E.,Meade,6/23/1907,United Kingdom,Swanage,1977.0,economics,for their pathbreaking contribution to the theory of international trade and international capital movements
712,Bertil,Ohlin,04/23/1899,Sweden,Klippan,1977.0,economics,for their pathbreaking contribution to the theory of international trade and international capital movements
713,Tsung-Dao (T.D.),Lee,11/24/1926,China,Shanghai,1957.0,physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles
714,Chen Ning,Yang,9/22/1922,China,"Hofei, Anhwei",1957.0,physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles
715,Ernest Thomas Sinton,Walton,10/6/1903,Ireland,Dungarvan,1951.0,physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
716,Sir John Douglas,Cockcroft,05/27/1897,United Kingdom,Todmorden,1951.0,physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
717,John C.,Harsanyi,5/29/1920,Hungary,Budapest,1994.0,economics,for their pioneering analysis of equilibria in the theory of non-cooperative games
718,Reinhard,Selten,10/5/1930,Germany (now Poland),Breslau (now Wroclaw),1994.0,economics,for their pioneering analysis of equilibria in the theory of non-cooperative games
719,John F.,Nash Jr.,6/13/1928,USA,"Bluefield, WV",1994.0,economics,for their pioneering analysis of equilibria in the theory of non-cooperative games
720,Kenneth J.,Arrow,8/23/1921,USA,"New York, NY",1972.0,economics,for their pioneering contributions to general economic equilibrium theory and welfare theory
721,John R.,Hicks,4/8/1904,United Kingdom,Warwick,1972.0,economics,for their pioneering contributions to general economic equilibrium theory and welfare theory
722,Jerome I.,Friedman,3/28/1930,USA,"Chicago, IL",1990.0,physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
723,Henry W.,Kendall,12/9/1926,USA,"Boston, MA",1990.0,physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
724,Richard E.,Taylor,11/2/1929,Canada,"Medicine Hat, Alberta",1990.0,physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
725,Sir Martin,Ryle,9/27/1918,United Kingdom,Brighton,1974.0,physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
726,Antony,Hewish,5/11/1924,United Kingdom,Fowey,1974.0,physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars"
727,Theodore W.,Schultz,4/30/1902,USA,"Arlington, SD",1979.0,economics,for their pioneering research into economic development research with particular consideration of the problems of developing countries
728,Sir Arthur,Lewis,1/23/1915,British West Indies (now Saint Lucia),Castries,1979.0,economics,for their pioneering research into economic development research with particular consideration of the problems of developing countries
729,Samuel Chao Chung,Ting,1/27/1936,USA,"Ann Arbor, MI",1976.0,physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind
730,Burton,Richter,3/22/1931,USA,"Brooklyn, NY",1976.0,physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind
731,Merton H.,Miller,5/16/1923,USA,"Boston, MA",1990.0,economics,for their pioneering work in the theory of financial economics
732,Harry M.,Markowitz,8/24/1927,USA,"Chicago, IL",1990.0,economics,for their pioneering work in the theory of financial economics
733,William F.,Sharpe,6/16/1934,USA,"Boston, MA",1990.0,economics,for their pioneering work in the theory of financial economics
734,Gunnar,Myrdal,12/06/1898,Sweden,Skattungbyn,1974.0,economics,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena"
735,Friedrich August,von Hayek,05/08/1899,Austria,Vienna,1974.0,economics,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena"
736,Geoffrey,Wilkinson,7/14/1921,United Kingdom,Todmorden,1973.0,chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
737,Ernst Otto,Fischer,11/10/1918,Germany,Munich,1973.0,chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds"
738,Wendell Meredith,Stanley,8/16/1904,USA,"Ridgeville, IN",1946.0,chemistry,for their preparation of enzymes and virus proteins in a pure form
739,John Howard,Northrop,07/05/1891,USA,"Yonkers, NY",1946.0,chemistry,for their preparation of enzymes and virus proteins in a pure form
740,Nikolay Nikolaevich,Semenov,04/03/1896,Russia,Saratov,1956.0,chemistry,for their researches into the mechanism of chemical reactions
741,Sir Cyril Norman,Hinshelwood,05/19/1897,United Kingdom,London,1956.0,chemistry,for their researches into the mechanism of chemical reactions
742,William Bradford,Shockley,2/13/1910,United Kingdom,London,1956.0,physics,for their researches on semiconductors and their discovery of the transistor effect
743,Walter Houser,Brattain,2/10/1902,China,Amoy,1956.0,physics,for their researches on semiconductors and their discovery of the transistor effect
744,John,Bardeen,5/23/1908,USA,"Madison, WI",1956.0,physics,for their researches on semiconductors and their discovery of the transistor effect
745,Sir William Henry,Bragg,07/02/1862,United Kingdom,Wigton,1915.0,physics,for their services in the analysis of crystal structure by means of X-rays
746,William Lawrence,Bragg,03/31/1890,Australia,Adelaide,1915.0,physics,for their services in the analysis of crystal structure by means of X-rays
747,Kailash,Satyarthi,1/11/1954,India,Vidisha,2014.0,peace,for their struggle against the suppression of children and young people and for the right of all children to education
748,Ronald George Wreyford,Norrish,11/09/1897,United Kingdom,Cambridge,1967.0,chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
749,Manfred,Eigen,5/9/1927,Germany,Bochum,1967.0,chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
750,George,Porter,12/6/1920,United Kingdom,Stainforth,1967.0,chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy"
751,Max Ferdinand,Perutz,5/19/1914,Austria,Vienna,1962.0,chemistry,for their studies of the structures of globular proteins
752,John Cowdery,Kendrew,3/24/1917,United Kingdom,Oxford,1962.0,chemistry,for their studies of the structures of globular proteins
753,Roald,Hoffmann,7/18/1937,Poland (now Ukraine),Zloczov,1981.0,chemistry,"for their theories, developed independently, concerning the course of chemical reactions"
754,Kenichi,Fukui,10/4/1918,Japan,Nara,1981.0,chemistry,"for their theories, developed independently, concerning the course of chemical reactions"
755,Kofi,Annan,4/8/1938,Gold Coast (now Ghana),Kumasi,2001.0,peace,for their work for a better organized and more peaceful world
756,Frederik Willem,de Klerk,3/18/1936,South Africa,Johannesburg,1993.0,peace,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
757,Nelson,Mandela,7/18/1918,South Africa,Qunu,1993.0,peace,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
758,Mario J.,Molina,3/19/1943,Mexico,Mexico City,1995.0,chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
759,F. Sherwood,Rowland,6/28/1927,USA,"Delaware, OH",1995.0,chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
760,Paul J.,Crutzen,12/3/1933,the Netherlands,Amsterdam,1995.0,chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
761,Ryoji,Noyori,9/3/1938,Japan,Kobe,2001.0,chemistry,for their work on chirally catalysed hydrogenation reactions
762,William S.,Knowles,6/1/1917,USA,"Taunton, MA",2001.0,chemistry,for their work on chirally catalysed hydrogenation reactions
763,Carlos Filipe Ximenes,Belo,2/3/1948,East Timor,Wailacama,1996.0,peace,for their work towards a just and peaceful solution to the conflict in East Timor
764,Jos_,Ramos-Horta,12/26/1949,East Timor,Dili,1996.0,peace,for their work towards a just and peaceful solution to the conflict in East Timor
765,Georges J.F.,K_hler,4/17/1946,Germany,Munich,1984.0,medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
766,Niels K.,Jerne,12/23/1911,United Kingdom,London,1984.0,medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
767,C_sar,Milstein,10/8/1927,Argentina,Bahia Blanca,1984.0,medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies
768,Seamus,Heaney,4/13/1939,Northern Ireland,Casteldšwson,1995.0,literature,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past"
769,Imre,Kert_sz,11/9/1929,Hungary,Budapest,2002.0,literature,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history
770,Elias,Canetti,7/25/1905,Bulgaria,Ruse,1981.0,literature,"for writings marked by a broad outlook, a wealth of ideas and artistic power"
771,Harry,Martinson,5/6/1904,Sweden,J_msh_g,1974.0,literature,for writings that catch the dewdrop and reflect the cosmos
772,Count Maurice (Mooris) Polidore Marie Bernhard,Maeterlinck,08/29/1862,Belgium,Ghent,1911.0,literature,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations"
773,Rudyard,Kipling,12/30/1865,British India (now India),Bombay,1907.0,literature,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"
774,Theodore William,Richards,01/31/1868,USA,"Germantown, PA",1914.0,chemistry,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements
775,Anatole,France,04/16/1844,France,Paris,1921.0,literature,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament"
776,Niels Ryberg,Finsen,12/15/1860,Faroe Islands (Denmark),Thorshavn,1903.0,medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"
777,Rudolf Christoph,Eucken,01/05/1846,East Friesland (now Germany),Aurich,1908.0,literature,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"
778,Henri,Bergson,10/18/1859,France,Paris,1927.0,literature,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented
779,Johann Friedrich Wilhelm Adolf,von Baeyer,10/31/1835,Prussia (now Germany),Berlin,1905.0,chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"
780,Sir William,Ramsay,10/02/1852,Scotland,Glasgow,1904.0,chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"
781,Otto,Wallach,03/27/1847,Germany (now Russia),Koenigsberg (now Kaliningrad),1910.0,chemistry,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds
782,Carl Gustaf Verner,von Heidenstam,07/06/1859,Sweden,Olshammar,1916.0,literature,in recognition of his significance as the leading representative of a new era in our literature
